studentId,questionId,correct
8,1,true
8,2,true
8,3,true
8,4,true
8,5,true
1,1,true
1,2,true
1,3,true
1,4,true
1,5,true
2,1,false
2,2,true
2,3,false
2,4,false
2,5,false
3,1,false
3,2,true
3,3,true
3,4,true
3,5,false
4,1,false
4,2,true
4,3,false
4,4,false
4,5,false
5,1,false
5,2,true
5,3,true
5,4,true
5,5,false
6,1,false
6,2,true
6,3,false
6,4,false
6,5,false
7,1,false
7,2,false
7,3,true
7,4,false
7,5,true
9,1,true
9,2,true
9,3,false
9,4,true
9,5,false
10,1,false
10,2,false
10,3,true
10,4,true
10,5,true
14,1,true
14,2,true
14,3,true
14,4,false
14,5,false
